0,Tag,,"place to go, itinerary, where to stay, how to travel"
1,Have You Heard Vietnam is Difficult or the Vietnamese Unpleasant?,,"some of the nicest, friendliest, kindest and happiest people you could meet; bad stories involve taxi driver scams; haggling over prices is just the normal way to do things"
2,Traffic and Roads in Vietnam,,"Feel safer on the roads in Vietnam than in any Asian country because of low speed limits and largely populated by push bikes and scooters roads; cities are busy; crossing the road is an adventure; watch out for taxis and buses, they can be unpredictable; road death rates are high in Vietnam; do not hire scooters unless you have a suitable international motorbike license and adequate insurance."
3,Highlights of Vietnam,,"8 UNESCO listed sites; including Ha Long Bay, Hue’s historic sites, the old town of Hoi An and the Champa complex at My Son sanctuary"
4,Destinations in Vietnam,,lots of places to visit in Vietnam; new addition and one that we highly recommend is Phong Nha National Park and caves in Central Vietnam.
5,Destinations in Vietnam,Saigon  ( Ho Chi Minh),"Saigon refers to the inner city area of Ho Chi Minh City. Renamed after the war in honor of the North Vietnamese leader. Most people end up in is District 1 where you will find backpacker accommodation and agencies selling tours and transportation to just about anywhere in Vietnam. The Cu Chi tunnels are located about 50 km west. You can visit Cao Dai temple, its religion is unique to Vietnam and was founded in 1912.The biggest draw card in Saigon is the War Remnants Museum and the Old Palace (now called Independence Palace) from the colonial era but not used since 1975. Saigon also boasts French Period architecture, abundant great food and fascinating markets."
6,Destinations in Vietnam,Hoi An,"This incredibly picturesque riverside city is something of a tourist hot spot these days, combing the charms of the Old Town with its ancient buildings, tailor’s shops and Hoi An central market with nearby rice paddies and beaches.Hoi An food is world-famous and central Vietnam is a big producer of quality sea food.Around town there are various places of interest to keep you busy, throw a pot at the pottery village. My Son Sanctuary and Marble Mountain are a short day trip from Hoi An and Hue is accessible by tour, bus or train.The nearest large city, Danang, is about 45 minutes away and is another beach-side tourist draw, popular with family holiday-makers"
7,Destinations in Vietnam,Hanoi,"noisy, vibrant capital city Hanoi with its traffic-choked streets of the Old Quarter, crumbling colonial buildings, street vendors and traditional tubular shops. Hanoi is filled with historic buildings: the ornate Temple of Literature, St Joseph’s Cathedral (nha tho lon) and the Imperial Citadel of Thang Long. Learn about the country’s revolutionary leader at the Ho Chi Minh mausoleum and palace complex. Take a stroll around Hoan Kiem Lake where locals come to exercise and relax. Sampling its famous food delights such as a Banh Mi sandwich or Bun Cha. Stop in at Café Giang for a Ca Phe Trung (egg coffee)"
8,Destinations in Vietnam,Ha Long Bay,"magical location in Vietnam with emerald-green waters, limestone islands and mystical caves, all while touring on Junk Boats. From day tours through to tours that keep you entertained for 2 days 3 nights, we highly recommend the latter. Sleeping on a Junk Boat, while doing day visits to floating villages, taking rowing tours, and getting to jump off the boat into the cool refreshing water, is so relaxing and fun plus gives you a great insight to local living and seeing nature’s beauty up close. Highly recommend you choose your junk boat tour wisely and spend a few extra dollars to get a better experience and higher quality boat. We have done three tours since 2008 and loved Signature Cruises."
9,Destinations in Vietnam,Sapa,"Sapa is a must-see destination for nature lovers. Sapa is within easy reach of Hanoi, by overnight bus or train. In Sapa, the magnificent purple mountains sink away into deep valleys, where terraced rice paddies feed the imagination. Its has many ethnic minorities, including the H’Mong, the Dao and the Dai. The big draw is the chance to trek along Sapa’s stunning valleys and mountains. Taking a multi-day trek between village homestays will give you the chance to immerse yourself in a slower pace of life, stretch your legs, and indulge in shots of the locally-made rice wine which burns a little as it goes down but is perfect way to loosen your muscles after a long day of walking!"
10,Tours in Vietnam,,How do you want to visit Vietnam? There are heaps of options.
11,Vietnam with Kids and for Families,,"There are loads of interesting things for the kids to do like the pottery classes, the Cu Chi tunnels tour or coconut boat rides and crab catching. There is much to learn about culture and history. Vietnamese food is generally lacking in spice or chili except the Central Vietnam. You can also get just about any western food here. Not likely to have any sort of tummy trouble or diarrhoea in Vietnam. Lots of tropical bugs like mosquitoes. There are plenty of accommodation options at all price points and likewise plenty of transportation options. There are beaches if that is your want. Be mindful of the weather and if you plan to use bikes bring your own helmets. Hoi An is a massively popular family holiday hot spot particularly for Australians"
12,Vietnam with Kids and for Families,Small Group Tours of Vietnam,All of the big adventure travel companies offer small group tours of Vietnam for big fans of Explore Worldwide
13,Vietnam with Kids and for Families,"Tours and Transportation Within Vietnam. Booking Trains, Buses and Planes","Every town visited by tourists and backpackers has plenty of small travel agents’ shops selling tours and onward transportation. Everything is very easy to arrange on the ground but need time and your best haggling skills. Can easily book train or bus tickets online ( or even flights)in advance,  you can use 12GoAsia or local agent.If you’re short of time or need to book a tour in advance for a particular day, we recommend booking online."
14,Classes and Courses to Take,,"Cooking classes, pottery classes, Vietnamese lessons, yoga, painting and more"
